month,revenue,cost_of_goods_sold,operating_expenses,net_profit,total_assets,total_liabilities,cash_flow,accounts_receivable,inventory,accounts_payable,employee_count,industry
Jan-2024,850000,510000,180000,160000,2500000,900000,95000,120000,85000,65000,45,Manufacturing
Feb-2024,920000,552000,185000,183000,2520000,895000,110000,135000,90000,68000,45,Manufacturing
Mar-2024,780000,468000,175000,137000,2480000,910000,82000,115000,80000,62000,45,Manufacturing
Apr-2024,1050000,630000,195000,225000,2560000,880000,145000,150000,95000,70000,47,Manufacturing
May-2024,1120000,672000,198000,250000,2590000,870000,162000,160000,98000,72000,47,Manufacturing
Jun-2024,1200000,720000,205000,275000,2630000,860000,180000,175000,102000,75000,48,Manufacturing
Jul-2024,1150000,690000,202000,258000,2650000,855000,172000,168000,100000,73000,48,Manufacturing
Aug-2024,1080000,648000,198000,234000,2620000,858000,158000,162000,96000,71000,48,Manufacturing
Sep-2024,1250000,750000,210000,290000,2700000,840000,198000,185000,108000,78000,50,Manufacturing
Oct-2024,1320000,792000,215000,313000,2740000,830000,215000,195000,112000,80000,50,Manufacturing
Nov-2024,1180000,708000,208000,264000,2710000,838000,185000,178000,105000,76000,50,Manufacturing
Dec-2024,1400000,840000,225000,335000,2800000,815000,238000,210000,120000,85000,52,Manufacturing
