month,revenue,operating_expenses,net_profit,cash_flow,total_liabilities,industry
Jan-2024,350000,290000,60000,45000,120000,Retail
Feb-2024,420000,330000,90000,72000,118000,Retail
Mar-2024,380000,310000,70000,55000,115000,Retail
Apr-2024,450000,345000,105000,88000,112000,Retail
May-2024,510000,375000,135000,115000,109000,Retail
Jun-2024,480000,360000,120000,100000,110000,Retail
Jul-2024,390000,320000,70000,52000,113000,Retail
Aug-2024,430000,340000,90000,75000,111000,Retail
Sep-2024,520000,385000,135000,118000,107000,Retail
Oct-2024,600000,420000,180000,158000,103000,Retail
Nov-2024,680000,465000,215000,192000,98000,Retail
Dec-2024,750000,500000,250000,225000,92000,Retail
