month,revenue,operating_expenses,net_profit,cash_flow,total_liabilities,industry
Jan-2024,250000,238000,12000,-5000,280000,Services
Feb-2024,230000,228000,2000,-15000,290000,Services
Mar-2024,210000,215000,-5000,-28000,300000,Services
Apr-2024,220000,220000,0,-12000,310000,Services
May-2024,240000,232000,8000,-3000,315000,Services
Jun-2024,200000,218000,-18000,-35000,325000,Services
Jul-2024,190000,210000,-20000,-38000,330000,Services
Aug-2024,215000,221000,-6000,-22000,340000,Services
Sep-2024,225000,225000,0,-14000,348000,Services
Oct-2024,235000,228000,7000,-5000,355000,Services
Nov-2024,245000,235000,10000,2000,358000,Services
Dec-2024,255000,240000,15000,8000,360000,Services
